Год,коэффициент_замещения,коэффициент_нагрузки,ест_прирост_‰,миграция_‰,доля_пенсионеров,опережение_зп,z_замещение,z_нагрузка,z_прирост,z_миграция,z_старение,z_финустой,ИПУ,Округ,медианная_зарплата,средняя_пенсия,родившиеся,умершие,миграция,население_всего,занятые,пенсионеры_всего
2012,0.3778943739004353,0.5519016726668785,-16.481255073427636,0.0,0.2775926115783969,-0.2350511710054115,0.017297503894737203,0.2512348791105416,-0.17550883489710853,0.0,-0.15214251029431525,0.003667285261546556,47.3719300549391,Приволжский,15807.499,5973.5649375367575,30135.97,416266.96,0.0,23428494.26695364,11783941.290641176,6503576.908913161
2013,0.4166032471329594,0.5573197685873469,-15.900029613737985,0.0,0.2800630696366248,-0.2009886883810874,0.26860890773486146,0.31966065041503444,-0.0711687969394795,0.0,-0.11861054327746277,0.2847841981631228,47.96506850904051,Приволжский,16661.103946,6941.070004723363,33140.0,414148.95,0.0,23962782.41336102,12041723.222435107,6711090.399720416
2014,0.4292323695496659,0.5640739018721399,-15.778835884367886,0.0,0.2854080295717004,-0.1191462338727491,0.3506015419494004,0.40495939489819927,-0.04941242320895719,0.0,-0.046062450565492775,0.960228158294267,44.012766348725556,Приволжский,16961.25466851139,7280.319531900477,32440.0,414350.94,0.0,24203999.76264153,12246650.407122154,6908015.880009424
2015,0.5259035690275646,0.5812500363298166,-15.281873111800104,0.0,0.2883317936724281,-0.3848846890394387,0.9782244310415724,0.6218788192768299,0.039801002818419855,0.0,-0.006377679935959121,-1.2329054127258237,60.37094057613351,Приволжский,15533.721951976955,8169.239814826509,30068.0,412785.93,0.0,25043914.91802659,12423150.894732894,7220956.908894288
2016,0.5864448248529812,0.558608793590513,-14.403767648062514,0.0,0.292589511167666,-0.3811158758226449,1.3712792198062786,0.33593989894941445,0.19743614403557064,0.0,0.0514130775884986,-1.2018014809163684,66.71601656816561,Приволжский,15575.408622011328,9134.117781349049,28784.99,403229.96,0.0,25996321.18131033,13616418.13353368,7606250.906597232
2017,0.6535694485793178,0.5750721820156535,-13.821328711782488,0.0,0.3054204299774379,-0.5003816581821007,1.807075511772015,0.5438579697646527,0.3019940220609213,0.0,0.22556942276191147,-2.1860993349940783,73.09980513085372,Приволжский,16238.681430751754,10613.106068351632,26737.0,388986.96,0.0,26209488.79474859,13919841.0,8004913.337180956
2018,0.6470637575066168,0.5922675384261507,-13.276070103739134,0.0,0.2966790801273175,-0.2590222498775183,1.764838313427091,0.7610201504486394,0.39987738713296334,0.0,0.10692152510553159,-0.19416549650506376,62.1060804112942,Приволжский,17464.605355836087,11300.713164917484,26359.99,390945.95,0.0,27461888.732970487,13756229.0,8147367.8878564285
2019,0.6794306417418933,0.6101566885786515,-12.625166709850312,0.0,0.2923449479488001,-0.1838568589875604,1.9749753294605001,0.9869443339874452,0.5167258212352357,0.0,0.048093577481530966,0.4261728058163314,59.47584421641857,Приволжский,18060.49848341456,12270.856074764846,23755.98,379512.97,0.0,28178399.396693427,13501143.0,8237812.70490684
2020,0.7202513534905454,0.6299316281167116,-15.078705847747996,0.0,0.2843235084874607,-0.1174795028414503,2.2399975199459417,1.236684373708724,0.07627304596371447,0.0,-0.06078284830901622,0.9739836524936648,54.571570990589166,Приволжский,18698.06248296896,13467.30481100918,22342.98,462643.92,0.0,29200181.0,13179681.0,8302297.910388889
2021,0.7882993947761474,0.6495739044411116,-17.26092041781859,0.0,0.3027659966057527,-0.2417494773295039,2.6817889583411705,1.484748994084966,-0.31547226951925555,0.0,0.18954032606410048,-0.05161368812684924,58.93044498717398,Приволжский,19343.14563863139,15248.19,19148.0,518820.94,0.0,28948221.06266034,13492748.0,8764537.0
2022,0.9263584265192706,0.6423960064198246,-12.785912308662402,0.0,0.2987112478213166,-0.3901130276374225,3.578115980617302,1.394098474850693,0.48786920182539273,0.0,0.1345044989839751,-1.2760547751043545,76.77614121748391,Приволжский,19386.31903795438,17958.68,19111.0,391724.94,0.0,29142538.366038658,13551149.0,8705204.0
2023,0.884362289594778,0.6237636818237973,-12.246352893981834,0.0,0.2964566117995661,-0.2623437676758469,3.305462523024832,1.1587886537634666,0.5847294629678192,0.0,0.10390192288900832,-0.22157790915601316,72.52862127816437,Приволжский,21528.50729164834,19039.0,19190.99,372094.96,0.0,28817066.848810628,13695908.0,8543010.0
2024,0.7917298922066051,0.6230828627761339,-13.03487606283147,0.0,0.3000205234447696,-0.0054101075047086,2.7040609351031777,1.150190509851107,0.44317589542077496,0.0,0.1522755300991873,1.8988898842347892,55.782126825307984,Приволжский,24047.3426447712,19039.0,18403.0,389567.86323986255,0.0,28474752.0,13710873.0,8543010.0
2025,0.8941625297973896,0.5941499672074921,-13.306269420881716,0.0,0.2952024183584689,0.0455688629988206,3.3690890747070275,0.7847935651647695,0.3944560865955884,0.0,0.08687853204067648,2.3196181960525193,62.7829736336696,Приволжский,25418.041175523154,22727.86,16244.0,394674.853232194,0.0,28440041.401710767,14130387.045983048,8395569.0
2026,0.8717922969980921,0.6322218675273004,-12.206037341506638,-3.926265390585826e-06,0.3013306376605924,-0.2378315027252661,3.223853780069254,1.2656080768771132,0.5919668029800597,-1.917420306846311e-06,0.17005794357792187,-0.019278730698244678,69.98037276226354,Приволжский,,,,,,,,
2027,0.8906088093107033,0.6360234438033543,-11.954221403050154,-4.765797623429435e-06,0.30215712101199776,-0.2393766067556986,3.3460170912111566,1.313618631263785,0.6371721258695886,-2.32741198885693e-06,0.18127594923764173,-0.03203043995964761,70.79665007896743,Приволжский,,,,,,,,
2028,0.9081322652624376,0.6397382085825398,-11.716129162039875,-5.605914580097959e-06,0.3029737405139834,-0.2409232191898235,3.4597854328755355,1.3605328330353477,0.6799138073466771,-2.7376892250072348e-06,0.19236007111321923,-0.04479459804323689,71.53323081349747,Приволжский,,,,,,,,
